Feature_1,Feature_2,Feature_3,Feature_4
-0.025068659335374832,0,1,0
-1.2952483892440796,0,1,1
-0.16789020597934723,1,0,1
-0.21042445302009583,2,0,0
1.1503410339355469,1,1,1
0.12566213309764862,0,1,1
0.7554143667221069,1,0,1
0.5977585911750793,1,1,1
1.3563024997711182,0,1,1
1.7506879568099976,1,1,1
-1.0364320278167725,1,0,1
2.0537493228912354,1,0,1
-1.6709215641021729,0,0,0
0.43072620034217834,2,1,0
0.8871467709541321,1,1,1
0.47703877091407776,1,0,1
-1.113446593284607,0,0,0
0.6356555819511414,1,0,1
-1.113446593284607,2,1,1
-0.21042445302009583,1,0,1
-0.29673466086387634,2,1,1
-0.8416110873222351,0,0,0
-1.0364320278167725,0,0,1
2.326345920562744,1,1,1
-0.6571052670478821,2,1,0
-1.6709215641021729,1,0,1
0.025068435817956924,1,0,1
-1.1977027654647827,0,1,1
-0.3853192627429962,0,1,1
0.6356555819511414,1,0,1
-0.4307258725166321,0,0,0
-1.4479938745498657,0,1,0
2.5758254528045654,1,0,1
0.16789565980434418,1,0,1
-0.8416110873222351,2,0,1
-1.1977027654647827,0,0,0
-1.2952483892440796,0,1,1
2.0537493228912354,1,0,1
-0.07526754587888718,0,0,0
0.6744884252548218,1,0,1
-0.07526754587888718,0,1,0
-0.2533429265022278,0,1,1
-0.718044102191925,1,1,1
-1.0364320278167725,2,1,1
-0.16789020597934723,1,1,1
0.5977585911750793,1,0,1
-0.29673466086387634,0,0,0
-0.5243985652923584,2,0,1
-0.5243985652923584,0,1,0
-1.4479938745498657,1,1,1
-0.025068659335374832,0,1,0
-1.2952483892440796,0,0,0
1.7506879568099976,1,1,1
-0.967417299747467,2,1,1
-1.6709215641021729,0,1,1
0.9842360615730286,1,0,1
0.3853197693824768,1,0,1
0.318641722202301,1,0,1
-0.6571052670478821,1,1,1
1.2815272808074951,1,1,1
0.25335240364074707,0,0,1
-0.29673466086387634,1,1,1
0.5243982672691345,1,1,1
0.6356555819511414,1,1,1
-0.718044102191925,0,0,1
-0.3853192627429962,0,0,0
-0.5894529223442078,0,0,1
-0.12565693259239197,0,0,1
0.47703877091407776,1,1,1
1.4395256042480469,1,1,1
1.8119118213653564,1,0,1
-0.6571052670478821,0,0,0
-0.2533429265022278,0,1,1
-1.6709215641021729,1,1,1
-0.967417299747467,0,0,0
-0.21042445302009583,2,1,1
-0.34069257974624634,0,1,1
-0.6571052670478821,0,1,1
-0.16789020597934723,0,1,1
-0.47703877091407776,0,0,0
-0.16789020597934723,2,0,0
1.3563024997711182,1,0,1
0.9345899224281311,1,0,1
-0.7783411741256714,1,0,1
1.3563024997711182,1,0,1
-0.29673466086387634,1,0,1
0.6356555819511414,0,1,1
0.8871467709541321,0,0,1
-1.113446593284607,0,0,0
0.025068435817956924,0,0,0
-1.6709215641021729,0,1,1
0.7143664360046387,1,1,1
0.47703877091407776,0,1,1
-1.8580763339996338,2,1,1
0.5977585911750793,1,0,1
-0.5894529223442078,0,1,1
1.644855260848999,1,0,1
1.2815272808074951,1,1,1
0.5607013702392578,1,1,1
-0.16789020597934723,1,1,1
1.1503410339355469,1,1,1
-1.113446593284607,0,0,0
-1.4479938745498657,1,0,1
0.07527008652687073,2,1,1
-1.4479938745498657,0,1,1
1.2815272808074951,1,0,1
-2.2215163707733154,2,1,1
-0.025068659335374832,0,1,1
-0.4307258725166321,1,0,1
0.12566213309764862,2,0,1
-0.12565693259239197,2,1,1
0.21043093502521515,1,0,1
-0.12565693259239197,0,1,1
-0.9027278423309326,0,0,0
0.318641722202301,1,0,1
-1.0364320278167725,2,1,1
-1.113446593284607,0,0,0
-2.307035446166992,2,1,1
0.5243982672691345,1,1,1
-0.2533429265022278,2,1,1
-0.12565693259239197,1,1,1
-0.29673466086387634,1,0,1
0.3853197693824768,1,0,1
-0.6571052670478821,0,1,1
-0.47703877091407776,1,0,1
0.3853197693824768,1,0,1
1.1503410339355469,2,1,1
-0.025068659335374832,0,1,0
-0.6571052670478821,1,0,1
0.8871467709541321,1,0,1
-1.6709215641021729,0,0,1
-0.2533429265022278,0,1,1
0.318641722202301,0,0,0
-1.113446593284607,0,0,0
-0.9027278423309326,2,1,1
-0.5243985652923584,1,1,1
-1.2952483892440796,0,1,1
1.6953994035720825,1,1,1
0.8416212797164917,1,0,1
1.644855260848999,1,1,1
-1.4479938745498657,0,1,1
-0.21042445302009583,1,0,1
0.07527008652687073,1,0,1
-0.025068659335374832,1,1,1
-1.113446593284607,1,1,1
