Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12
-1.3351833820343018,0.43072736263275146,5.199337482452393,0.13971036672592163,0.36692795157432556,0.13965696096420288,-0.7206725478172302,0,0,0,0,0
-0.19621065258979797,-0.29014647006988525,-1.2206319570541382,-0.5134466886520386,-0.33148473501205444,-0.2597590982913971,0.267935186624527,1,1,0,1,1
0.9238681793212891,0.20238734781742096,-1.593213677406311,-0.13971029222011566,0.5879324078559875,-0.2597590982913971,-0.7768452167510986,0,1,1,1,1
-1.794535517692566,-0.022317608818411827,-4.966259956359863,-0.6367225646972656,0.5879324078559875,-0.2597590982913971,-0.6920772790908813,1,1,0,0,0
1.3829938173294067,0.8956530094146729,0.13970886170864105,0.13971036672592163,0.13470299541950226,-0.7647289037704468,-0.07847040891647339,0,0,0,1,0
1.9145028591156006,0.1750580370426178,0.13970886170864105,1.2454591989517212,-0.7649415135383606,1.7012830972671509,1.5634952783584595,1,0,0,0,0
0.4307244122028351,-1.2220866680145264,1.786135196685791,0.6088321805000305,-1.2169466018676758,0.764751136302948,-0.5053211450576782,1,1,1,1,0
-0.6920838952064514,0.43072736263275146,-0.21440720558166504,0.13971036672592163,0.842307448387146,-0.2597590982913971,0.24468207359313965,1,1,0,1,1
0.23422320187091827,0.9893403649330139,0.13970886170864105,0.6088321805000305,0.13470299541950226,-0.9674646258354187,-0.3860582411289215,0,0,0,1,1
0.7647107243537903,-1.2059205770492554,0.4307265281677246,0.5019177198410034,1.016929268836975,-0.2597590982913971,-0.5566336512565613,0,0,0,0,0
-0.43073129653930664,-0.9887513518333435,0.13970886170864105,1.3263548612594604,0.5879324078559875,-0.2597590982913971,1.3816596269607544,0,1,0,0,0
-0.5566388368606567,0.039971403777599335,-0.21440720558166504,-0.4270036518573761,1.425611972808838,2.0098624229431152,-0.14432251453399658,1,1,0,1,0
-1.4557799100875854,-0.9887513518333435,0.4307265281677246,-0.3392554223537445,-1.4447582960128784,0.5894386768341064,-0.5053211450576782,0,1,1,1,0
-0.5566388368606567,-0.20699618756771088,1.786135196685791,-0.5283993482589722,-1.4447582960128784,-0.9674646258354187,0.19396936893463135,0,0,0,1,1
-1.794535517692566,-0.777762770652771,0.4307265281677246,-0.317746102809906,0.4276956617832184,0.764751136302948,-0.5696887373924255,0,1,0,1,0
