Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
0.4307286739349365,-0.7658092975616455,0.44084593653678894,1,0,0
0.33087536692619324,0.7650744318962097,-1.3145241737365723,0,0,0
-1.220696210861206,-3.5797622203826904,-0.1840934008359909,0,0,0
1.2206416130065918,-0.46482986211776733,-0.22181494534015656,0,0,0
-0.43076515197753906,-0.46482986211776733,-0.4414898455142975,0,0,0
0.535085916519165,-0.499658465385437,-0.4252437353134155,1,0,0
0.9674248099327087,0.7650744318962097,0.5315262675285339,1,0,0
-0.8957931995391846,0.06666036695241928,0.4526936411857605,0,0,0
0.535085916519165,-3.5797622203826904,-1.3145241737365723,0,0,3
0.6456360220909119,0.7650744318962097,0.31021198630332947,0,0,1
-1.5932384729385376,-0.4131028354167938,1.2233448028564453,1,0,0
-0.43076515197753906,-0.13925807178020477,0.43072736263275146,0,0,0
-0.33088475465774536,1.2206406593322754,-1.3145241737365723,1,0,2
-1.220696210861206,-0.7405028343200684,-0.43072736263275146,0,0,0
0.7647135257720947,0.5895947813987732,1.327970027923584,1,0,0
-0.234231099486351,0.20871767401695251,-0.34856975078582764,0,0,0
-0.764715850353241,0.13895393908023834,1.2634079456329346,0,0,0
-0.234231099486351,-1.221089482307434,-1.3145241737365723,0,1,0
0.23422320187091827,4.372581958770752,1.2206404209136963,1,0,0
0.8284682631492615,0.24106760323047638,-1.3145241737365723,0,0,0
-4.781014013133245e-06,-2.663459300994873,-0.2571485936641693,0,0,0
1.0444117784500122,1.5722671747207642,0.49154719710350037,1,0,0
-4.781014013133245e-06,0.9977020621299744,1.1132806539535522,0,0,0
0.9674248099327087,0.5163050293922424,-1.3145241737365723,0,0,2
0.9674248099327087,1.2960532903671265,1.880374550819397,1,0,0
0.8284682631492615,-0.30270519852638245,-0.6834650635719299,0,0,0
-1.220696210861206,-2.0076026916503906,-1.3145241737365723,0,0,0
1.2206416130065918,0.3960586190223694,1.2073105573654175,1,0,0
-1.220696210861206,0.6231886148452759,-1.3145241737365723,0,1,0
0.13971564173698425,-0.42178940773010254,0.7244483232498169,1,0,0
1.2206416130065918,1.2499547004699707,-0.4676056504249573,1,0,0
1.1281462907791138,-0.8036354780197144,-1.3145241737365723,1,0,0
-0.8957931995391846,-0.7658092975616455,0.013250370509922504,0,0,0
-0.1397220641374588,-0.43050795793533325,-0.1397102177143097,1,0,0
0.6456360220909119,0.11824093759059906,0.5619730949401855,0,0,0
-0.234231099486351,1.0445663928985596,0.9146120548248291,1,0,0
-0.8957931995391846,0.8071849346160889,-1.3145241737365723,0,0,1
1.1281462907791138,0.6749495267868042,0.13433890044689178,0,0,0
-0.764715850353241,0.18192680180072784,-1.3145241737365723,1,0,1
-0.43076515197753906,0.06666036695241928,0.734506368637085,1,0,0
0.13971564173698425,-0.35311904549598694,0.22422298789024353,0,0,0
0.4307286739349365,0.9926292300224304,-0.6394553780555725,1,0,0
0.6456360220909119,-0.7658092975616455,0.7647097110748291,0,0,0
-4.781014013133245e-06,-1.3711755275726318,-1.3145241737365723,1,0,0
2.3550615310668945,0.841931939125061,-1.3145241737365723,0,0,1
1.382994294166565,1.2960532903671265,0.5401474237442017,1,0,0
1.324958324432373,-1.221089482307434,-1.3145241737365723,0,0,0
-0.1397220641374588,-0.46482986211776733,-0.37338343262672424,0,0,0
-0.43076515197753906,-0.499658465385437,-0.09459302574396133,0,0,0
-0.33088475465774536,-0.6081275939941406,0.01229244563728571,0,0,0
-0.33088475465774536,-0.5494699478149414,-0.5402090549468994,0,0,0
-0.1397220641374588,-0.48565664887428284,0.25789254903793335,1,0,0
0.4307286739349365,-0.3872259259223938,-1.3145241737365723,1,0,0
-1.220696210861206,-0.2202964872121811,-0.1328355073928833,0,0,0
0.13971564173698425,0.7195037007331848,0.5560793876647949,1,0,0
1.2206416130065918,-0.5494699478149414,-1.3145241737365723,0,0,0
1.0444117784500122,0.20871767401695251,0.7911771535873413,1,0,0
1.6818749904632568,0.4304121434688568,-1.3145241737365723,0,0,0
1.0444117784500122,0.9384275674819946,-1.3145241737365723,1,0,0
0.7647135257720947,1.3228996992111206,1.2303646802902222,1,0,0
