Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
0.1796826273202896,1.300372838973999,0.9456631541252136,0.23030425608158112,1.2345619201660156,-0.853889524936676,-0.6456307768821716,-0.8613895177841187,0.8954105377197266,3,2,0,0
0.1796826273202896,-1.3978365659713745,-1.4460159540176392,0.23030425608158112,-0.6222087740898132,-0.6985474228858948,-0.46493878960609436,-1.219983696937561,0.8954105377197266,1,3,0,1
0.15591207146644592,0.7063021659851074,0.28222545981407166,-0.12196943163871765,0.19490179419517517,-0.76471346616745,0.7945064902305603,-1.0601155757904053,0.8954105377197266,0,3,0,1
0.20355501770973206,-0.6132928729057312,-0.4304213225841522,0.8616329431533813,-0.1400192826986313,0.5245662331581116,-0.8234424591064453,1.247730016708374,-0.39178267121315,2,0,0,1
0.1796826273202896,-0.6132928729057312,-0.589181125164032,-0.12196943163871765,0.19490179419517517,-0.853889524936676,0.12452886253595352,-0.005743224639445543,0.8954105377197266,2,1,0,0
0.1796826273202896,1.5694200992584229,1.3987939357757568,-1.3329731225967407,0.6332305669784546,-1.2332026958465576,0.12452886253595352,-0.005743224639445543,0.8954105377197266,0,1,0,1
0.1796826273202896,1.3919180631637573,5.199337482452393,-5.199337482452393,0.19490179419517517,-0.7312307357788086,-0.9846696853637695,-1.2926411628723145,0.8954105377197266,4,1,0,1
0.1796826273202896,-0.3029802739620209,-1.2205173969268799,-0.764721155166626,-0.947078287601471,0.4309203028678894,0.6345902681350708,1.2205708026885986,-0.39178267121315,1,0,0,1
0.20355501770973206,-0.22060923278331757,-1.4460159540176392,-0.764721155166626,-0.7271231412887573,0.2269781082868576,-0.9846696853637695,-0.7138144969940186,-0.39178267121315,3,0,0,1
0.20355501770973206,-0.38746362924575806,-0.4304213225841522,1.2206419706344604,-0.6222087740898132,0.5245662331581116,-0.6456307768821716,0.5887445211410522,-0.39178267121315,3,0,0,1
0.12877696752548218,0.5828406810760498,0.7647255063056946,-0.12196943163871765,0.19490179419517517,-1.0949867963790894,0.12452886253595352,-0.005743224639445543,-0.39178267121315,3,0,0,1
0.1796826273202896,-1.2529873847961426,-0.14030136168003082,1.4034165143966675,0.6332305669784546,0.7280191779136658,-1.3937314748764038,0.8954308032989502,-0.39178267121315,5,0,0,1
0.12877696752548218,1.420713186264038,1.3592764139175415,-1.754379391670227,-1.7008317708969116,-1.1766419410705566,1.4321649074554443,-1.219983696937561,-0.39178267121315,5,3,0,1
0.12877696752548218,0.8410155177116394,0.8015012145042419,-0.589475691318512,-0.43004804849624634,0.20504260063171387,0.8563342690467834,-0.9235647916793823,0.8954105377197266,3,2,1,1
0.1796826273202896,0.09297089278697968,0.5021269917488098,-1.309168815612793,-0.2342166006565094,-1.3868613243103027,-1.238080382347107,-1.2556921243667603,0.8954105377197266,4,1,0,1
0.15591207146644592,-0.22060923278331757,0.4307127594947815,-0.12196943163871765,0.19490179419517517,-0.7312307357788086,-1.4860914945602417,-1.2556921243667603,-0.39178267121315,4,0,0,1
0.1796826273202896,-0.7647096514701843,-0.7642784118652344,1.4034165143966675,0.7669994235038757,0.7648450136184692,1.1053547859191895,0.967128574848175,-0.39178267121315,1,0,0,1
0.1796826273202896,0.13970930874347687,-0.589181125164032,-0.764721155166626,-0.8338364362716675,-0.13906240463256836,0.12452886253595352,-0.005743224639445543,-0.39178267121315,5,4,0,1
0.1796826273202896,-0.8284645676612854,-0.4304213225841522,0.764703094959259,0.5111699104309082,1.2489489316940308,-0.18909505009651184,0.7640385627746582,-0.39178267121315,1,0,0,1
