Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27
1.5510222911834717,-0.43055662512779236,0.3554905951023102,-0.967421293258667,-0.06490956991910934,1.965266466140747,0.1909739226102829,0.09614815562963486,-0.13971029222011566,0,0,1,0,2,1,3,2,4,4,1,0,2,3,3,2,1,1
-0.2851526737213135,-0.037785351276397705,1.3058111667633057,0.35081031918525696,-0.06490956991910934,1.324957251548767,-0.7647159695625305,0.09614815562963486,0.43072736263275146,0,0,0,0,0,3,5,2,2,1,3,1,3,1,1,3,1,0
-0.9130875468254089,-0.43055662512779236,-1.2206387519836426,1.5155631303787231,-0.06490956991910934,-0.5350834727287292,-0.09692201763391495,0.09614815562963486,-0.4307272732257843,0,0,1,0,0,2,4,1,3,3,4,3,0,1,2,2,1,0
0.06429347395896912,0.42932209372520447,0.13970930874347687,-0.13969135284423828,-0.06490956991910934,-0.33087655901908875,-0.4307028353214264,1.251186490058899,0.13971036672592163,0,0,1,0,0,3,6,2,3,3,0,3,3,2,1,1,1,1
0.4079633057117462,1.2201807498931885,-1.0444084405899048,-1.3829923868179321,-0.06490956991910934,-1.3301005363464355,1.1651415824890137,0.09614815562963486,-1.3118345737457275,0,0,0,0,1,2,4,1,1,3,4,0,2,3,5,2,0,0
0.7647139430046082,0.42932209372520447,-1.3249567747116089,-1.2206395864486694,-0.06490956991910934,-0.97379070520401,0.8485433459281921,0.09614815562963486,-1.3118345737457275,0,0,0,0,1,1,4,1,1,4,1,0,2,3,3,2,0,0
-0.6963751912117004,-0.037785351276397705,0.15470609068870544,0.35081031918525696,-0.06490956991910934,-2.358518600463867,-0.622918426990509,0.09614815562963486,0.14270293712615967,0,0,1,0,2,1,3,3,4,4,1,0,2,3,3,2,1,0
-1.0898864269256592,-1.0433752536773682,-0.9674216508865356,-1.593214750289917,-0.06490956991910934,-0.7646933197975159,-0.4307028353214264,-1.3924100399017334,-0.7607464790344238,0,0,1,0,1,2,6,1,4,0,4,3,3,4,2,1,1,1
0.41277846693992615,-0.764407753944397,0.13970930874347687,0.35081031918525696,-0.06490956991910934,1.1312789916992188,1.7316648960113525,-1.220461130142212,0.13971036672592163,0,0,1,0,2,3,3,1,2,3,2,0,3,4,4,0,1,0
-0.5550451874732971,0.861726701259613,-0.430728018283844,0.1182447001338005,-0.06490956991910934,-0.6456235647201538,-0.4307028353214264,-1.1647545099258423,-1.3118345737457275,0,0,0,0,4,2,4,1,0,2,2,3,2,0,3,1,0,1
