Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35
-1.6016265153884888,0.14002841711044312,-1.6117417812347412,-1.595613956451416,0.22851939499378204,0.10054954886436462,-0.13981394469738007,-0.3463183045387268,-1.1325591802597046,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
-0.004625273868441582,-1.59250009059906,-0.3113495707511902,0.7521524429321289,1.0976132154464722,0.824410080909729,1.3249655961990356,1.0128933191299438,-8.180016448022798e-05,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
-0.12284175306558609,-1.1598478555679321,0.6891960501670837,0.6925140619277954,0.22851939499378204,0.10054954886436462,0.7646958827972412,1.6253334283828735,-1.1325591802597046,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
-1.2224093675613403,0.022502396255731583,-0.5482050776481628,-0.4482407867908478,-0.2380519062280655,-0.26754826307296753,0.5894717574119568,-0.29404059052467346,0.3765931725502014,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
-0.013555635698139668,-1.4051204919815063,0.7894467711448669,0.7107686996459961,0.6310140490531921,-0.28219157457351685,0.35549044609069824,0.20825426280498505,0.13906405866146088,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
0.19506944715976715,-2.0574324131011963,-0.2845974266529083,1.545902967453003,0.6310140490531921,1.3857450485229492,0.28219032287597656,1.485079288482666,1.9256978034973145,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0
-0.7779187560081482,-0.18502148985862732,0.31773126125335693,0.9390527009963989,0.22851939499378204,0.10054954886436462,0.35549044609069824,1.3484328985214233,1.2205185890197754,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
-0.3502158224582672,-0.700722336769104,0.16091792285442352,0.40423500537872314,0.6139264106750488,0.7068665027618408,1.1281522512435913,0.3382948040962219,-0.034913498908281326,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
-0.2665262222290039,-0.9160400032997131,1.7416733503341675,1.7737081050872803,1.6228892803192139,1.6924731731414795,-0.4307309687137604,-0.43946731090545654,-1.1325591802597046,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.8961975574493408,-0.3165878653526306,-0.5235242247581482,-0.321091890335083,-0.8743928670883179,-0.6609293222427368,0.28219032287597656,-0.6317947506904602,0.13906405866146088,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
